"Sample","Fluor","Copies","Inhibited"
"0L-2B","FAM",NA,"NO"
"0L-2C","FAM",NA,"NO"
"0L-3A","FAM",NA,"NO"
"0L-3B","FAM",5.224,"NO"
"0L-3C","FAM",NA,"NO"
"2L-1A","FAM",3121,"NO"
"0L-1A","FAM",NA,"NO"
"0L-1B","FAM",NA,"NO"
"0L-1C","FAM",NA,"NO"
"0L-2A","FAM",0.3118,"NO"
"0L-2B","FAM",NA,"NO"
"0L-2C","FAM",1.328,"NO"
"0L-3A","FAM",6.277,"NO"
"0L-3B","FAM",5.574,"NO"
"0L-3C","FAM",NA,"NO"
"2L-1A","FAM",3968,"NO"
"0L-1A","FAM",NA,"NO"
"0L-1B","FAM",6.225,"NO"
"0L-1C","FAM",2.77,"NO"
"0L-2A","FAM",5.734,"NO"
"0L-2B","FAM",NA,"NO"
"0L-2C","FAM",1.681,"NO"
"0L-3A","FAM",NA,"NO"
"0L-3B","FAM",7.307,"NO"
"0L-3C","FAM",1.836,"NO"
"2L-1A","FAM",4157,"NO"
"0L-1A","FAM",NA,"NO"
"0L-1B","FAM",NA,"NO"
"0L-1C","FAM",NA,"NO"
"0L-2A","FAM",1.257,"NO"
"0L-2B","FAM",NA,"NO"
"0L-2C","FAM",NA,"NO"
"0L-3A","FAM",NA,"NO"
"0L-3B","FAM",NA,"NO"
"0L-3C","FAM",5.376,"NO"
"2L-1A","FAM",4853,"NO"
"0L-1A","HEX",0.004492,"NO"
"0L-1B","HEX",NA,"NO"
"0L-1C","HEX",1.054,"NO"
"0L-2A","HEX",NA,"NO"
"0L-2B","HEX",NA,"NO"
"0L-2C","HEX",0.005585,"NO"
"0L-3A","HEX",0.01301,"NO"
"0L-3B","HEX",NA,"NO"
"0L-3C","HEX",0.0008315,"NO"
"2L-1A","HEX",2249,"NO"
"0L-1A","HEX",NA,"NO"
"0L-1B","HEX",NA,"NO"
"0L-1C","HEX",NA,"NO"
"0L-2A","HEX",NA,"NO"
"0L-2B","HEX",NA,"NO"
"0L-2C","HEX",NA,"NO"
"0L-3A","HEX",4.873,"NO"
"0L-3B","HEX",3.697,"NO"
"0L-3C","HEX",NA,"NO"
"2L-1A","HEX",2795,"NO"
"0L-1A","HEX",NA,"NO"
"0L-1B","HEX",NA,"NO"
"0L-1C","HEX",1.046,"NO"
"0L-2A","HEX",5.577,"NO"
"0L-2B","HEX",NA,"NO"
"0L-2C","HEX",2.45e-05,"NO"
"0L-3A","HEX",NA,"NO"
"0L-3B","HEX",2.429,"NO"
"0L-3C","HEX",1.123,"NO"
"2L-1A","HEX",2912,"NO"
"0L-1A","HEX",NA,"NO"
"0L-1B","HEX",NA,"NO"
"0L-1C","HEX",NA,"NO"
"0L-2A","HEX",0.4679,"NO"
"0L-2B","HEX",NA,"NO"
"0L-2C","HEX",NA,"NO"
"0L-3A","HEX",NA,"NO"
"0L-3B","HEX",1.048,"NO"
"0L-3C","HEX",NA,"NO"
"2L-1A","HEX",2315,"NO"
"2L-1B","FAM",5008,"NO"
